,Id,AcceptedAnswerId,questions,qTitle,tags,answerId,score,answers,CreationDate,link,answered
0,48063861,,I trying create multiple flyTo buttons corresponding different views using loop run views rather repeating function view I populating list button names I call loop containing flyTo function Problems occur loop I get error Uncaught TypeError names[i] addEventListener function I tried calling elements[i] addEventListener instead get error Uncaught TypeError Cannot read property center undefined HTMLButtonElement This error removed center views[i] center replaced center views[ ] center specific view buttons fly one view I think I everything work something right method I struggling solve I think one loop creates list button names links views Any help would greatly appreciated link code lt div id map class myMap gt lt div gt lt View buttons gt lt div id console gt lt button class location name loc id v1 gt View lt button gt lt button class location name loc id v2 gt View lt button gt lt button class location name loc id v3 gt View lt button gt lt div gt lt script gt Mapboxgl demo app use strict var map mapboxgl accessToken pk eyJ1IjoiYmVuamFtaW4td3lzcyIsImEiOiJVcm5FdEw4In0 S8HRIEq8NqdtFVz2 BwQog init map map new mapboxgl Map { container map style center [ 183] zoom } var views [{ name View zoom pitch bearing center [ ] } { name View zoom pitch bearing center [ ] } { name View zoom pitch bearing center [ ] } ] Populate list button names var elements document getElementsByClassName location var names var lt elements length i++ { names + elements[i] name } document write names For button fly corresponding view var lt elements length i++ { names[i] addEventListener click function { map flyTo { center views[i] center zoom app views[i] zoom pitch app views[i] pitch bearing app views[i] bearing } } } lt script gt,"Mapbox: Why isn't my for loop calling in the list of locations to the flyTo function? ""...addEventListener is not a function""", html  list  for-loop  mapbox ,48096037,0,Mapboxgl demo app use strict var map mapboxgl accessToken pk eyJ1IjoiYmVuamFtaW4td3lzcyIsImEiOiJVcm5FdEw4In0 S8HRIEq8NqdtFVz2 BwQog init map map new mapboxgl Map { container map style center [ 183] zoom } Populate list button names var elements document getElementsByClassName location var names var lt elements length i++ { names + elements[i] name elements[i] addEventListener click function event { var zoom parseInt event target dataset zoom var pitch parseInt event target dataset pitch var bearing parseInt event target dataset bearing var lat parseFloat event target dataset lat var long parseFloat event target dataset long map flyTo { center [long lat] zoom app views[i] zoom pitch app views[i] pitch bearing app views[i] bearing } } } document write names html body { height 100 percentage } map { height percentage width 100 percentage } lt link href rel stylesheet gt lt div id map class myMap gt lt div gt lt View buttons gt lt div id console gt lt button class location name loc id v1 data zoom data pitch data bearing data long data lat gt View lt button gt lt button class location name loc id v2 data zoom data pitch data bearing data long data lat gt View lt button gt lt button class location name loc id v3 data zoom data pitch data bearing data long data lat gt View lt button gt lt div gt lt script src lt script src,1/2/2018 15:47,https://stackoverflow.com/questions/48063861,Nope
1,48066274,,How I display location address HTML page using MapBox SDk forward Geo Coding function The SDK already query I need able display map location point html sample code lt html gt lt head gt lt meta charset utf gt lt title gt MapBox lt title gt lt meta name viewport content initial scale maximum scale user scalable gt lt script src lt link href rel stylesheet gt lt style gt body { margin padding } map { position absolute top bottom width 100 percentage } lt style gt lt head gt lt body style word wrap break word gt lt script src lt script gt mapboxgl accessToken pk eyJ1IjoibGF3aXgxMCIsImEiOiJjamJlOGE1bmcyZ2V5MzNtcmlyaWRzcDZlIn0 ZRQ73zzVxwcADIPvsqB6mg console log mapboxgl accessToken var client new MapboxClient mapboxgl accessToken console log client var address Antares Drive Ottawa Ontario K2E 6AE Canada var test client geocodeForward address function err data res { data geocoding result parsed JSON res http response including status headers entity properties console log res console log res url console log data console log err } console log test I display address HTML lt script gt lt body gt lt html gt console log res url gives desired url I display map add marker,Display Location with MapBox java-script SDK, javascript  html  mapbox  geocoding ,48066459,0,You need make lt div gt tag hold map See example lt DOCTYPE html gt lt html gt lt head gt lt meta charset utf gt lt title gt Display map lt title gt lt meta name viewport content initial scale maximum scale user scalable gt lt script src lt link href rel stylesheet gt lt style gt body { margin padding } map { position absolute top bottom width 100 percentage } lt style gt lt head gt lt body gt lt div id map gt lt div gt line looking lt script gt mapboxgl accessToken pk eyJ1IjoibGF3aXgxMCIsImEiOiJjamJlOGE1bmcyZ2V5MzNtcmlyaWRzcDZlIn0 ZRQ73zzVxwcADIPvsqB6mg var map new mapboxgl Map { container map id div assigned style mapbox styles mapbox streets v9 stylesheet basemap want center [ ] starting position [lng lat] zoom starting zoom } lt script gt lt body gt lt html gt,1/2/2018 18:54,https://stackoverflow.com/questions/48066274,Nope
2,48079262,48123703.0,I using style mapbox styles mapbox dark v9 Mapbox GL JS API I would like reduce density labels As far I researched density based labels collision boxes Is option I could set density I create Map Javascript Object Or I increase labels collision boxes means Add padding instance Any help appreciated Thanks,Mapbox way to control label density, javascript  mapbox  mapbox-gl-js ,48123703,2,The text padding symbol layout property It probably easier copy dark style Mapbox Studio set value label layers,1/3/2018 14:24,https://stackoverflow.com/questions/48079262,Yup
3,48098558,48099078.0,Messed Up Tiling I running issue I load tiles fine placed completely wrong map view This happens zoomlevels beyond obviously entire image I running tileserver php tileserver serving unpacked vector tiles mbtiles file I managed get working resolution becomes crap openlayers beyond maxzoom vectors updating resolution properly On Mapbox GL JS I got load facing issue var simple { version sources { osm { tiles [ type vector maxzoom } } style { styling 600 lines long I including } } var map new mapboxgl Map { container map style simple maxBounds [[ ] [ ]] zoom center [ ] } With OpenLayers I able set tiling grid like function tileUrlFunction tileCoord { return replace {z} String tileCoord[ ] replace {x} String tileCoord[ ] replace {y} String tileCoord[ ] } Is possible Mapbox GL well something else somewhere else messing I tried following Change URL different format {x} {y} {z} {z} {y} {x} etc This funnily enough fixed either vertical horizontal positioning left tiles upper tiles,Mapbox GL JS tiling faulty?, javascript  mapbox  mapbox-gl-js ,48099078,1,sabas right Although appeared standard tileserver php framework I replaced string read like {z} {y} {x} works,1/4/2018 15:34,https://stackoverflow.com/questions/48098558,Yup
4,48146237,,Platform xcode iOS objective c Mapbox SDK version Mapbox iOS SDK Expected behavior I want dig holes area world fog area appear But area cannot show hole For example code A hole Hexagon Ulitsa Malaya Polyanka Moskva Russia 119180 Latitude 735024 Longitude 617188 Actual behavior No hole area Ulitsa Malaya Polyanka Moskva Russia 119180 Latitude 735024 Longitude 617188 CLLocationCoordinate2D lightCoordinate[ ] { { 735024042991469 617187500000007} { 74216582786 14843749993} { 75644547726997 595214843749993} { 763583342064059 617187500000007} { 75644547726997 639160156249993} { 742165827861974 639160156249993} } NSUInteger numberOfLightCoordinates sizeof lightCoordinate sizeof CLLocationCoordinate2D MGLPolygon lightPolygon [MGLPolygon polygonWithCoordinates lightCoordinate count numberOfLightCoordinates] NSArray lt MGLPolygon gt lightPolygonArray [lightPolygon] CLLocationCoordinate2D worldCoords[ ] { { } { 180} { 180} { } { 180} { 180} } NSUInteger numberOfWorldCoords sizeof worldCoords sizeof CLLocationCoordinate2D MGLPolygon worldOverlay [MGLPolygon polygonWithCoordinates worldCoords count numberOfWorldCoords interiorPolygons lightPolygonArray] array one cutout needed [self mapBoxView addOverlay self worldOverlay],MapBox interiorPolygons can not show the hole in some area, ios  mapbox  polygons ,48149882,0,I solve problem trick Divide earth north south part Each part cutout arrays The code show CLLocationCoordinate2D northWorldCoords[ ] { { 180} { 180} { 180} { 180}} NSUInteger northNumberOfWorldCoords sizeof northWorldCoords sizeof CLLocationCoordinate2D northWorldOverlay [MGLPolygon polygonWithCoordinates northWorldCoords count northNumberOfWorldCoords interiorPolygons northLightPolygonArray] array one cutout needed [self chillViewController mapBoxView addOverlay northWorldOverlay] CLLocationCoordinate2D southWorldCoords[ ] {{ 180} { 180} { 180} { 180}} NSUInteger southNumberOfWorldCoords sizeof southWorldCoords sizeof CLLocationCoordinate2D southWorldOverlay [MGLPolygon polygonWithCoordinates southWorldCoords count southNumberOfWorldCoords interiorPolygons southLightPolygonArray] array one cutout needed [self chillViewController mapBoxView addOverlay southWorldOverlay],1/8/2018 7:56,https://stackoverflow.com/questions/48146237,Nope
5,48149766,,I use mapbox I want make zooming map slower mouse scroll Apparently API doc speed control unless example flyTo method I tried control speed zoom event triggered zoom event work well Could way control speed zoom mouse scroll zoom,Mapbox how to control map zooming speed in a mouse scroll, javascript  mapbox ,48185988,0,I ended solving I disabled mapbox scroll map scrollWheelZoom disable And applied standard jquery wheel event div ID holds map dollar document wheel map function e { e preventDefault e originalEvent wheelDelta 120 gt { scrollZoomMap } else{ scrollZoomMap } } scollZoomMap function could look like function scrollZoomMap dir { console log dir + dir var newZoom null var debounce var el map mapbox instance latLng el getCenter var latitude latLng[ lat ] var longitude latLng[ lng ] var currentZoom el getZoom debounce clearTimeout debounce debounce setTimeout function { debounce null dir { newZoom currentZoom + }else{ newZoom currentZoom } newZoom gt amp amp newZoom lt { console log newZoom + newZoom el setView [latitude longitude] newZoom } } 300 },1/8/2018 11:53,https://stackoverflow.com/questions/48149766,Nope
6,48150554,48157590.0,Using Open Map Tiles mapbox gl js zooming higher zoom I get errors browser console mapbox gl js d5ed 510 Error Error Actor receive mapbox gl js d5ed 490 Evented fire mapbox gl js d5ed 510 Evented fire mapbox gl js d5ed 510 Evented fire mapbox gl js d5ed 510 tileLoaded mapbox gl js d5ed 222 mapbox gl js d5ed 230 Actor receive mapbox gl js d5ed 490 This fiddle shows behavior Please fill OMT key works The error [object Error] { } show everywhere zooming zoom areas already zoom I pretty sure relates tiles available however simple extend features zoom instead giving error I would think What causing I get rid errors,Open Map Tiles with mapbox-gl-js gives error at higher zooms, mapbox-gl-js  openmaptiles ,48157590,3,When create tile based source raster vector mapbox gl define minzoom amp maxzoom levels If set correctly mapbox request tiles levels still show tiles biggest lowest zoom level available map addSource { tiles [ tile urls ] maxzoom etc },1/8/2018 12:41,https://stackoverflow.com/questions/48150554,Yup
7,48164354,48164561.0,I using MapBox Android MapBox gets created XML layout Dialog The MapBox loads well shows grey overlay used Dialogs I searched problem gave solution give another Theme Dialog worked resized whole Dialog full screen Another solution seems enable textureMode I idea I documentation really helping Can guys help,MapBox in Dialog shows with additional grey overlay, java  android  mapbox ,48164561,3,Your issue certainly connected Dialog Theme however enable TextureMode Mapbox Map lt com mapbox mapboxsdk maps MapView android id id mapView android layout width match parent android layout height match parent app mapbox renderTextureMode true gt enable XML declaration MapboxMapOptions mapboxMapOptions new MapboxMapOptions mapboxMapOptions textureMode true MapView mapView new MapView mapboxMapOptions use MapboxMapOptions object creating MapView programmatically,1/9/2018 8:50,https://stackoverflow.com/questions/48164354,Yup
8,48177077,,I React app instance Mapbox GL map inside container I allowing users adjust width height On map I called addControl add NavigationControl Is way toggle visibility NavigationControl based width height container passed container props much way I change visibility layer calling [setLayoutProperty I thought adding removing control per documentation returned value addControl map I see place I access current controls displayed,Toggling Mapbox GL Control Visibility, mapbox-gl-js ,48186502,0,The straightforward option manipulate DOM dollar map mapbox ctrl top right button hide If want make happen automatically response page resized use CSS media screen max width 600px { map mapbox ctrl top right button { display none } },1/9/2018 21:43,https://stackoverflow.com/questions/48177077,Nope
9,48189437,,I use MapBox android project I need show house numbers I find opportunity documentation I get house num label I set color Black invisible I know maps information displayed Java engine Any ideas,How to show housing numbers on MapBox?, android  mapbox ,48209748,1,In styles simply map house numbers But styles house numbers display Kotlin map getLayer housenum label setProperties PropertyFactory textColor Color DKGRAY PropertyFactory visibility Property VISIBLE,1/10/2018 14:19,https://stackoverflow.com/questions/48189437,Nope
